year,level_1,level_2,value
1962,Female Age Specific Death Rate,35 - 39 Years,2.2
1962,Female Age Specific Death Rate,40 - 44 Years,3.3
1962,Female Age Specific Death Rate,45 - 49 Years,5.5
1962,Female Age Specific Death Rate,50 - 54 Years,8.9
1962,Female Age Specific Death Rate,55 - 59 Years,12.5
1962,Female Age Specific Death Rate,60 - 64 Years,21.6
1962,Female Age Specific Death Rate,65 - 69 Years,27
1962,Female Age Specific Death Rate,70 - 74 Years,na
1962,Female Age Specific Death Rate,75 Years & Over,na
1962,Female Age Specific Death Rate,70 Years & Over,78.1
1962,Female Age Specific Death Rate,75 - 79 Years,na
1962,Female Age Specific Death Rate,80 - 84 Years,na
1962,Female Age Specific Death Rate,85 Years & Over,na
1962,Total Age Specific Death Rate,Under 1 Year,31.2
1962,Total Age Specific Death Rate,1  -  4 Years,2.5
1962,Total Age Specific Death Rate,5  -  9 Years,0.8
1962,Total Age Specific Death Rate,10 - 14 Years,0.6
1962,Total Age Specific Death Rate,15 - 19 Years,0.8
1962,Total Age Specific Death Rate,20 - 24 Years,1.2
1962,Total Age Specific Death Rate,25 - 29 Years,1.2
1962,Total Age Specific Death Rate,30 - 34 Years,1.8
1962,Total Age Specific Death Rate,35 - 39 Years,2.7
1962,Total Age Specific Death Rate,40 - 44 Years,4.2
1962,Total Age Specific Death Rate,45 - 49 Years,7.1
1962,Total Age Specific Death Rate,50 - 54 Years,12.1
1962,Total Age Specific Death Rate,55 - 59 Years,18
1962,Total Age Specific Death Rate,60 - 64 Years,32.4
1962,Total Age Specific Death Rate,65 - 69 Years,42.5
1962,Total Age Specific Death Rate,70 - 74 Years,na
1962,Total Age Specific Death Rate,75 Years & Over,na
1962,Total Age Specific Death Rate,70 Years & Over,93.1
1962,Total Age Specific Death Rate,75 - 79 Years,na
1962,Total Age Specific Death Rate,80 - 84 Years,na
1962,Total Age Specific Death Rate,85 Years & Over,na
1963,Male Age Specific Death Rate,Under 1 Year,32.5
1963,Male Age Specific Death Rate,1  -  4 Years,2.2
1963,Male Age Specific Death Rate,5  -  9 Years,0.8
1963,Male Age Specific Death Rate,10 - 14 Years,0.7
1963,Male Age Specific Death Rate,15 - 19 Years,1
1963,Male Age Specific Death Rate,20 - 24 Years,1.4
1963,Male Age Specific Death Rate,25 - 29 Years,1.4
1963,Male Age Specific Death Rate,30 - 34 Years,2.2
1963,Male Age Specific Death Rate,35 - 39 Years,2.8
1963,Male Age Specific Death Rate,40 - 44 Years,4.7
1963,Male Age Specific Death Rate,45 - 49 Years,7.5
1963,Male Age Specific Death Rate,50 - 54 Years,14.3
1963,Male Age Specific Death Rate,55 - 59 Years,24.9
1963,Male Age Specific Death Rate,60 - 64 Years,41.4
1963,Male Age Specific Death Rate,65 - 69 Years,56.9
1963,Male Age Specific Death Rate,70 - 74 Years,na
1963,Male Age Specific Death Rate,75 Years & Over,na
1963,Male Age Specific Death Rate,70 Years & Over,121.9
1963,Male Age Specific Death Rate,75 - 79 Years,na
1963,Male Age Specific Death Rate,80 - 84 Years,na
1963,Male Age Specific Death Rate,85 Years & Over,na
1963,Female Age Specific Death Rate,Under 1 Year,23.5
1963,Female Age Specific Death Rate,1  -  4 Years,1.8
1963,Female Age Specific Death Rate,5  -  9 Years,0.7
1963,Female Age Specific Death Rate,10 - 14 Years,0.5
1963,Female Age Specific Death Rate,15 - 19 Years,0.6
1963,Female Age Specific Death Rate,20 - 24 Years,0.9
1963,Female Age Specific Death Rate,25 - 29 Years,1
1963,Female Age Specific Death Rate,30 - 34 Years,1.4
1963,Female Age Specific Death Rate,35 - 39 Years,2.3
1963,Female Age Specific Death Rate,40 - 44 Years,3.5
1963,Female Age Specific Death Rate,45 - 49 Years,4.4
1963,Female Age Specific Death Rate,50 - 54 Years,8.7
1963,Female Age Specific Death Rate,55 - 59 Years,12.4
1963,Female Age Specific Death Rate,60 - 64 Years,21.1
1963,Female Age Specific Death Rate,65 - 69 Years,26.6
1963,Female Age Specific Death Rate,70 - 74 Years,na
1963,Female Age Specific Death Rate,75 Years & Over,na
1963,Female Age Specific Death Rate,70 Years & Over,81.1
1963,Female Age Specific Death Rate,75 - 79 Years,na
1963,Female Age Specific Death Rate,80 - 84 Years,na
1963,Female Age Specific Death Rate,85 Years & Over,na
1963,Total Age Specific Death Rate,Under 1 Year,28.1
1963,Total Age Specific Death Rate,1  -  4 Years,2
